Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Recursive,402,2203,38,2500,0.28914,19.301,-1
Breadth First Search - Recursive,2203,1503,15,2500,0.270229,3.381,-1
Breadth First Search - Recursive,1503,803,15,2500,0.371531,6.622,-1
Breadth First Search - Recursive,803,103,15,2500,0.300545,7.753,-1
Breadth First Search - Recursive,103,1904,38,2500,0.252674,17.402,-1
Breadth First Search - Recursive,1904,1204,15,2500,0.264027,6.514,-1
Breadth First Search - Recursive,1204,504,15,2500,0.256553,5.131,-1
Breadth First Search - Recursive,504,2305,38,2500,0.281545,17.196,-1
Breadth First Search - Recursive,2305,1605,15,2500,0.240328,6.096,-1
Breadth First Search - Recursive,1605,905,15,2500,0.265501,8.24,-1
Breadth First Search - Recursive,905,205,15,2500,0.303707,6.537,-1
Breadth First Search - Recursive,205,2006,38,2500,0.249784,18.491,-1
Breadth First Search - Recursive,2006,1306,15,2500,0.35174,7.717,-1
